"","NEPA_DOC_NBR","numact","H","projarea","footprint","E"
"4200","52768",16,2.48210734423884,19878174.0779043,5912386.51126132,0.147699358157933
"4201","52773",8,0.448518241751772,1481338.08043545,678458.088804424,0.0315669929821795
"4202","52774",5,1.6094379124341,506722.272698903,101344.454539781,0.122523783620585
"4203","52778",15,2.36751197476084,26289759.4779349,5142631.921581,0.138575061539229
"4204","52781",21,2.63536587146189,118243429.098831,13619305.3358749,0.141775854023375
"4205","52782",21,1.98853927628149,497893268.20345,62501997.5586055,0.0992983908121529
"4206","52791",3,0.616923665645907,62859659.5354173,39791549.0730839,0.0343567276485498
"4207","52792",2,0.262995133809398,24855789.9851791,24855789.9851791,0.015444318031368
"4208","52804",2,0.581131281847359,2310290.25541171,1691427.02400214,0.0396598575886049
"4209","52812",2,0.693147180559945,1195130.75171782,597565.37585891,0.049532568500873
"4210","52813",6,1.73286795139986,749573.99073523,93696.7488419037,0.128101915055993
